shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
hkd2-1-1,41.7795466,140.7429182,85,
hkd2-1-1,41.7789221,140.74209,86,
hkd2-1-1,41.7785957,140.7416818,87,
hkd2-1-1,41.7779327,140.7408686,88,
hkd2-1-1,41.777627,140.7405108,89,
hkd2-1-1,41.7772229,140.7399797,90,
hkd2-1-1,41.7766183,140.7392346,91,
hkd2-1-1,41.7758774,140.7383287,92,
hkd2-1-1,41.775584,140.7379548,93,
hkd2-1-1,41.774456,140.7365478,94,
hkd2-1-1,41.7736947,140.7355462,95,
hkd2-1-1,41.7733742,140.7351888,96,
hkd2-1-1,41.7728859,140.7345571,97,
hkd2-1-1,41.7716761,140.7334238,98,
hkd2-1-1,41.7712561,140.7330161,99,
hkd2-1-1,41.7711487,140.7328555,100,
hkd2-1-1,41.771132,140.7327211,101,
hkd2-1-1,41.7716285,140.7312909,102,
hkd2-1-1,41.771961,140.7303229,103,
hkd2-1-1,41.772256,140.729471,104,
hkd2-1-1,41.77243,140.728967,105,
hkd2-1-1,41.7726764,140.7282185,106,
hkd2-1-1,41.7726744,140.7281086,107,
hkd2-1-1,41.7725984,140.7280174,108,
hkd2-1-1,41.7723401,140.7278564,109,
hkd2-1-1,41.7718237,140.7275379,110,
hkd2-1-1,41.7715602,140.7273897,111,
hkd2-1-1,41.7713415,140.7272358,112,
hkd2-1-1,41.7710097,140.7269962,113,
hkd2-1-1,41.7707872,140.7268035,114,
hkd2-1-1,41.7700739,140.7261516,115,
hkd2-1-1,41.7694095,140.7255735,116,
hkd2-1-1,41.7690416,140.7252105,117,
hkd2-1-1,41.7685,140.724699,118,
hkd2-1-1,41.7681194,140.7243452,119,
hkd2-1-1,41.7674143,140.7236157,120,
hkd2-1-1,41.7670377,140.7232735,121,
hkd2-1-1,41.7667493,140.7229634,122,
hkd2-1-1,41.7663785,140.7225293,123,
hkd2-1-1,41.7662066,140.7223233,124,
hkd2-1-1,41.7657725,140.7217519,125,
hkd2-1-1,41.7655264,140.7214542,126,
hkd2-1-1,41.7654284,140.7213335,127,
hkd2-1-1,41.7652443,140.7210868,128,
hkd2-1-1,41.7649942,140.7206522,129,
hkd2-1-1,41.7649071,140.7204788,130,
hkd2-1-1,41.7647852,140.7202352,131,
hkd2-1-1,41.7646011,140.7198784,132,
hkd2-1-1,41.7643911,140.719405,133,
hkd2-1-1,41.764346,140.7193125,134,
hkd2-1-1,41.7642219,140.7189297,135,
hkd2-1-1,41.764125,140.7186339,136,
hkd2-1-1,41.7640895,140.7185064,137,
hkd2-1-1,41.7640569,140.7184395,138,
hkd2-1-1,41.7640117,140.7183878,139,
hkd2-1-1,41.7639344,140.7183355,140,
hkd2-1-1,41.7638962,140.7183286,141,
hkd2-1-1,41.7638577,140.7183286,142,
hkd2-1-1,41.7638188,140.7183388,143,
hkd2-1-1,41.7634251,140.7185539,144,
hkd2-1-1,41.763233,140.7186723,145,
hkd2-1-1,41.7623654,140.7191707,146,
hkd2-1-1,41.7615321,140.7196501,147,
hkd2-1-1,41.7613485,140.7197564,148,
hkd2-1-1,41.761088,140.7199011,149,
hkd2-1-1,41.7609487,140.7199836,150,
hkd2-1-1,41.7608101,140.7200789,151,
hkd2-1-1,41.760754,140.7201132,152,
hkd2-1-1,41.7605829,140.7202234,153,
hkd2-1-1,41.7600888,140.720582,154,
hkd2-1-1,41.759795,140.7208053,155,
hkd2-1-1,41.7597329,140.720853,156,
hkd2-1-1,41.759666,140.7208838,157,
hkd2-1-1,41.7595911,140.7209027,158,
hkd2-1-1,41.7595355,140.7209072,159,
hkd2-1-1,41.7594778,140.7208973,160,
hkd2-1-1,41.7593518,140.7208664,161,
hkd2-1-1,41.7591617,140.7208061,162,
hkd2-1-1,41.7589416,140.7207363,163,
hkd2-1-1,41.7586264,140.7206318,164,
hkd2-1-1,41.7584895,140.720578,165,
hkd2-1-1,41.7583719,140.7205286,166,
hkd2-1-1,41.7582959,140.7204754,167,
hkd2-1-1,41.758206,140.7203884,168,
hkd2-1-1,41.758115,140.7202958,169,
hkd2-1-1,41.7579309,140.7200907,170,
hkd2-1-1,41.7576316,140.719738,171,
hkd2-1-1,41.7573196,140.7193799,172,
hkd2-1-1,41.75649,140.7184772,173,
hkd2-1-1,41.7563483,140.7183169,174,
hkd2-1-1,41.7553678,140.7172266,175,
hkd2-1-1,41.7552976,140.7171642,176,
hkd2-1-1,41.7552349,140.7171241,177,
hkd2-1-1,41.755164,140.7170912,178,
hkd2-1-1,41.7548223,140.7169703,179,
hkd2-1-1,41.7532839,140.7164055,180,
hkd2-1-1,41.7531235,140.7163512,181,
hkd2-2-1,41.784195,140.77652,0,
hkd2-2-1,41.784446,140.775869,1,
hkd2-2-1,41.784653,140.775403,2,
hkd2-2-1,41.78486,140.7749334,3,
hkd2-2-1,41.785186,140.7742521,4,
hkd2-2-1,41.785713,140.773158,5,
hkd2-2-1,41.785984,140.772557,6,
hkd2-2-1,41.78624,140.772001,7,
hkd2-2-1,41.786435,140.771576,8,
hkd2-2-1,41.786641,140.771109,9,
hkd2-2-1,41.7869294,140.7704916,10,
hkd2-2-1,41.7871538,140.7700366,11,
hkd2-2-1,41.7873646,140.7694049,12,
hkd2-2-1,41.7875393,140.7685412,13,
hkd2-2-1,41.7877861,140.7674849,14,
hkd2-2-1,41.7878438,140.7670376,15,
hkd2-2-1,41.7878556,140.7668019,16,
hkd2-2-1,41.7879432,140.7651608,17,
hkd2-2-1,41.7879901,140.7644089,18,
hkd2-2-1,41.7880863,140.7636263,19,
hkd2-2-1,41.788199,140.7626736,20,
hkd2-2-1,41.7883364,140.7616337,21,
hkd2-2-1,41.7885043,140.7605271,22,
hkd2-2-1,41.7886013,140.7596952,23,
hkd2-2-1,41.7886626,140.7593133,24,
hkd2-2-1,41.78872,140.7587881,25,
hkd2-2-1,41.78879,140.7578037,26,
hkd2-2-1,41.788878,140.7563527,27,
hkd2-2-1,41.7889514,140.7550962,28,
hkd2-2-1,41.78905,140.75398,29,
hkd2-2-1,41.789231,140.752354,30,
hkd2-2-1,41.789285,140.751817,31,
hkd2-2-1,41.789297,140.751686,32,
hkd2-2-1,41.789274,140.751639,33,
hkd2-2-1,41.788617,140.75148,34,
hkd2-2-1,41.787985,140.751316,35,
hkd2-2-1,41.786782,140.75102,36,
hkd2-2-1,41.786102,140.7508434,37,
hkd2-2-1,41.7859291,140.7507952,38,
hkd2-2-1,41.7858282,140.7507342,39,
hkd2-2-1,41.785758,140.7506802,40,
hkd2-2-1,41.7851688,140.7499581,41,
hkd2-2-1,41.784634,140.7492992,42,
hkd2-2-1,41.7843006,140.7488716,43,
hkd2-2-1,41.7839732,140.7484616,44,
hkd2-2-1,41.7833922,140.7477031,45,
hkd2-2-1,41.7828681,140.7470486,46,
hkd2-2-1,41.7823401,140.7464156,47,
hkd2-2-1,41.7821401,140.7461742,48,
hkd2-2-1,41.7817001,140.7456432,49,
hkd2-2-1,41.7810309,140.7447846,50,
hkd2-2-1,41.7803888,140.7439966,51,
hkd2-2-1,41.7795466,140.7429182,52,
hkd2-2-1,41.7789221,140.74209,53,
hkd2-2-1,41.7785957,140.7416818,54,
hkd2-2-1,41.7779327,140.7408686,55,
hkd2-2-1,41.777627,140.7405108,56,
